"estado","cidade","regiao","preco_medio"
"sp","novo hamburgo","sao jorge","293272.73"
"mg","belo horizonte","joao pinheiro","260000.00"
"mg","belo horizonte","concordia","385000.00"
"rs","contagem","parque riacho das pedras 2a secao","180000.00"
"mg","belo horizonte","jardim america","282666.67"
"mg","belo horizonte","trevo","207500.00"
"sp","campinas","vila faustina ii","320000.00"
"sp","sao bernardo do campo","vila luiz casa","390000.00"
"sp","campinas","jardim amoreiras","600000.00"
"sp","sao paulo","penha de franca","300000.00"
"rs","porto alegre","partenon","262486.49"
"mg","belo horizonte","nova esperanca","340000.00"
"rs","contagem","jardim laguna","550000.00"
"sp","guarulhos","vila moreira","717500.00"
"rs","porto alegre","vila joao pessoa","182500.00"
"rs","contagem"," sapucaias iii ","165000.00"
"sp","campinas","parque camboriu","450000.00"
"sp","campinas","jardim marcia","213333.33"
"sp","novo hamburgo","industrial","245000.00"
"sp","osasco","padroeira","277694.82"
"sp","campinas","vila maria eugenia","350000.00"
"sp","campinas","jardim brasil","1150500.00"
"mg","belo horizonte","sion","660000.00"
"sp","sao bernardo do campo","jardim brasilandia","675000.00"
"sp","sao paulo","campos eliseos","280000.00"
"sp","sao paulo","jardim norma","320000.00"
"sp","guarulhos","vila camargos","505000.00"
"sp","campinas","parque residencial vila uniao","196311.88"
"mg","belo horizonte","barroca","320000.00"
"rs","porto alegre","aberta dos morros","264000.00"
"sp","sao bernardo do campo","alto industrial","215000.00"
"sp","campinas","parque ipiranga","455000.00"
"sp","guarulhos","jardim santa clara","526666.67"
"sp","campinas","v p manoel nobrega","150000.00"
"sp","sao bernardo do campo","jardim das acacias","403333.33"
"sp","campinas","jd maria eugenia","458000.00"
"sp","sao paulo","jardim jau zona leste","450000.00"
"sp","sao paulo","vila nova mazzei","640000.00"
"rj","rio de janeiro","itanhanga","184444.44"
"rj","rio de janeiro","vila da penha","240000.00"
"rs","porto alegre","teresopolis","333195.12"
"sp","campinas","jardim eulina","600000.00"
"sp","campinas","vila marieta","363250.00"
"rs","porto alegre","medianeira","295800.00"
"sp","sao paulo","vila ivone","277500.00"
"sp","osasco","km 18","341800.00"
"sp","sao paulo","cerqueira cesar","1999500.00"
"rs","contagem","darcy vargas","390000.00"
"sp","sao paulo","vila santana","239500.00"
"sp","osasco","centro","521388.89"
"sp","osasco","jardim d’abril","338750.00"
"rs","canoas","sao luis","268500.00"
"sp","sao paulo","itaquera","213666.67"
"rs","canoas","niteroi","291800.00"
"mg","belo horizonte","sao sebastiao","320000.00"
"rs","contagem","tropical","272500.00"
"rs","contagem","jardim vera cruz","195000.00"
"sp","sao paulo","chacara inglesa","790000.00"
"rs","porto alegre","coronel aparicio borges","219666.67"
"sp","guarulhos","vila silveira","310000.00"
"mg","contagem","pedra azul","230000.00"
"sp","guarulhos","jardim tijuco","280000.00"
"sp","sao paulo","jardim sapopemba","320000.00"
"mg","belo horizonte","nova suica","347000.00"
"mg","belo horizonte","nova floresta","305000.00"
"sp","osasco","jaguare","380000.00"
"rs","contagem","amazonas","273777.78"
"sp","sao bernardo do campo","bairro dos casa","380000.00"
"rs","canoas","fatima","280460.77"
"mg","belo horizonte","conjunto california","180000.00"
"sp","campinas","vila rica","255000.00"
"sp","sao paulo","vila independencia","330000.00"
"sp","sao paulo","vila silvia","193750.00"
"rs","sao leopoldo","morro do espelho","350000.00"
"sp","sao paulo","jardim sao sebastiao","240000.00"
"rs","sao leopoldo","sao miguel","171538.46"
"sp","campinas","vila rossi borghi e siqueira","385000.00"
"sp","sao paulo","vila carrao","489666.67"
"mg","belo horizonte","ouro preto","446000.00"
"mg","belo horizonte","carlos prates","347000.00"
"rs","belo horizonte","camargos","252000.00"
"rs","porto alegre","humaita","230000.00"
"sp","guarulhos","jardim bom clima","389983.33"
"sp","osasco","conceicao","251120.00"
"sp","osasco","piratininga","305000.00"
"mg","belo horizonte","novo gloria","515000.00"
"sp","novo hamburgo","ouro branco","201034.00"
"mg","belo horizonte","hawai justinopolis","500000.00"
"rj","niteroi","vila progresso","820000.00"
"rj","rio de janeiro","jardim america","200000.00"
"rj","niteroi","vital brasil","655000.00"
"rj","niteroi","fatima","263200.00"
"sp","sao paulo","vila medeiros","270000.00"
"sp","campinas","vila guararapes","340000.00"
"sp","campinas","jardim ipaussurama","309000.00"
"sp","campinas","cambui","575800.00"
"sp","sao paulo","jardim independencia sao paulo","500000.00"
"sp","guarulhos","parque flamengo","770000.00"
"sp","sao paulo","brooklin paulista","787000.00"
"sp","osasco","umuarama","601372.64"
"sp","sao bernardo do campo","vila euclides","403750.00"
"sp","campinas","vila joao jorge","335000.00"
"rs","sao leopoldo","jardim america","235000.00"
"rs","contagem","bairro da gloria","341666.67"
"sp","campinas","vila georgina","240000.00"
"rs","porto alegre","tristeza","382666.67"
"rs","contagem","arvoredo","302500.00"
"sp","campinas","vila proost de souza","320000.00"
"sp","sao paulo","jardim botucatu","300000.00"
"sp","sao paulo","colonia zona leste","217500.00"
"sp","campinas","jardim sao jose","188622.50"
"sp","guarulhos","vila rosalia","462222.22"
"mg","belo horizonte","heliopolis","494700.00"
"rs","porto alegre","passo das pedras","269900.00"
"rj","rio de janeiro","parada de lucas","165000.00"
"rj","rio de janeiro","taquara jacarepagua","310000.00"
"sp","campinas","botafogo","305222.22"
"sp","guarulhos","jardim bela vista","672500.00"
"sp","sao bernardo do campo","jardim farina","420000.00"
"rs","contagem","nascentes imperiais","230000.00"
"rs","contagem","bairro empresarial do mandu","200000.00"
"rj","niteroi","serra grande","486666.67"
"sp","sao bernardo do campo","parque selecta","220000.00"
"sp","guarulhos","jardim santa cecilia","390000.00"
"sp","guarulhos","jardim rosa de franca","295000.00"
"rs","contagem","milanez","165000.00"
"sp","guarulhos","jardim cocaia","343833.33"
"mg","belo horizonte","funcionarios","558333.33"
"rs","belo horizonte","novo gloria","420000.00"
"sp","guarulhos","vila augusta","663923.08"
"sp","guarulhos","jardim sao luiz","200000.00"
"sp","sao paulo","vila gomes cardim","370000.00"
"sp","guarulhos","jardim ipanema","950000.00"
"rj","rio de janeiro","centro","170000.00"
"mg","belo horizonte","bandeirantes pampulha","330000.00"
"rs","porto alegre","sao joao","245000.00"
"sp","sao paulo","conjunto habitacional padre manoel de paiva","220000.00"
"rs","canoas","olaria","217777.78"
"sp","campinas","ponte preta","348750.00"
"sp","novo hamburgo","vila nova","335980.00"
"sp","sao paulo","consolacao","649500.00"
"mg","belo horizonte","floresta","410000.00"
"sp","osasco","metalurgicos","301000.00"
"rs","sao leopoldo","loteamento parque recreio","200000.00"
"mg","belo horizonte","serra verde","200000.00"
"sp","guarulhos","macedo","392048.53"
"rs","canoas","sao jose","311052.63"
