"estado","cidade","regiao","total_imoveis"
"sp","sao bernardo do campo","vila jerusalem","6"
"rs","porto alegre","jardim carvalho","6"
"sp","guarulhos","jardim valeria","6"
"rj","rio de janeiro","vargem pequena","6"
"sp","guarulhos","vila sao joao batista","6"
"sp","sao paulo","alto da mooca","6"
"rs","contagem","chacaras california","6"
"sp","sao paulo","indianopolis","6"
"sp","guarulhos","jardim iporanga","6"
"sp","sao bernardo do campo","jardim valdibia","6"
"rs","porto alegre","rio branco","6"
"mg","belo horizonte","nova vista","4"
"sp","campinas","jardim indianopolis","4"
"sp","osasco","bonfim","4"
"rs","contagem","vila panama","4"
"sp","campinas","jardim paraiso de viracopos","4"
"rj","niteroi","camboinhas","4"
"sp","guarulhos","jardim sao ricardo","4"
"mg","belo horizonte","jardim guanabara","4"
"sp","sao paulo","jardim sao francisco zona leste","4"
"sp","guarulhos","vila imaculada","4"
"rs","contagem","candida ferreira","4"
"mg","belo horizonte","cachoeirinha","4"
"rj","niteroi","maravista","4"
"rs","contagem","bom jesus","4"
"sp","campinas","conceicao","4"
"mg","belo horizonte","concordia","4"
"mg","belo horizonte","graca","4"
"sp","guarulhos","vila zanardi","4"
"rs","contagem","linda vista","4"
"rs","porto alegre","vila conceicao","4"
"mg","belo horizonte","santa lucia","4"
"sp","sao paulo","jardim da saude","4"
"sp","sao bernardo do campo","vila lusitania","4"
"sp","sao paulo","jardim celeste","4"
"mg","belo horizonte","engenho nogueira","4"
"mg","belo horizonte","cruzeiro","4"
"sp","guarulhos","vila santo antonio","4"
"rs","contagem","caiapos","4"
"sp","sao bernardo do campo","conjunto residencial pombeva","4"
"sp","sao paulo","vila santa clara","4"
"sp","guarulhos","jardim rosa de franca","4"
"mg","belo horizonte","santo andre","4"
"sp","campinas","vila proost de souza","4"
"sp","campinas","fundacao da casa popular","4"
"mg","belo horizonte","california","4"
"sp","sao paulo","penha de franca","4"
"rj","rio de janeiro","maracana","4"
"rs","contagem","chacara cotia","4"
"sp","guarulhos","vila venditti","4"
"rs","porto alegre","farroupilha","4"
"mg","belo horizonte","sao salvador","4"
"sp","sao paulo","quinta da paineira","4"
"sp","sao paulo","jardim sao luis","4"
"mg","belo horizonte","sao joao batista","4"
"sp","guarulhos","ponte grande","4"
"mg","belo horizonte","palmares","4"
"sp","campinas","jardim proenca","4"
"mg","belo horizonte","coracao eucaristico","4"
"sp","guarulhos","jardim santa barbara","4"
"sp","sao leopoldo","feitoria","4"
"sp","sao bernardo do campo","vila ferreira","4"
"rs","contagem","jardim industrial","4"
"sp","sao paulo","jardim maria estela","4"
"mg","belo horizonte","renascenca","4"
"sp","campinas","jardim do lago","4"
"rj","rio de janeiro","camorim","4"
"sp","sao bernardo do campo","jardim brasilandia","4"
"rs","contagem","chacara contagem","4"
