"regiao","tipo","num_anuncios","preco_medio"
"gloria","apartamento","16","255875.00"
"gloria","casa","4","370000.00"
"gopouva","apartamento","18","405888.89"
"gopouva","casa","4","366000.00"
"graca","apartamento","4","560000.00"
"grajau","apartamento","14","394000.00"
"guajuviras","apartamento","4","150000.00"
"guajuviras","casa","14","247700.00"
"guarani","apartamento","6","363333.33"
"guarani","casa","8","367250.00"
"guaruja","casa","2","580000.00"
"gutierrez","apartamento","18","545555.56"
"hamburgo velho","apartamento","14","314229.43"
"harmonia","apartamento","14","318714.29"
"harmonia","casa","30","361866.67"
"hawai justinopolis","casa","4","500000.00"
"heliopolis","apartamento","2","494700.00"
"higienopolis","studio","2","330000.00"
"hipica","casa","12","402333.33"
"horto","apartamento","4","305000.00"
"humaita","apartamento","4","230000.00"
"icarai","apartamento","120","655918.33"
"ideal","apartamento","14","242142.86"
"ideal","casa","6","696666.67"
"igara","apartamento","37","292378.38"
"igara","casa","10","389980.00"
"inconfidentes","apartamento","18","316111.11"
"inconfidentes","casa","2","650000.00"
"independencia","apartamento","2","255000.00"
"independencia","casa","2","430000.00"
"indianopolis","apartamento","4","1593000.00"
"indianopolis","studio","2","1593000.00"
" industrial","apartamento","2","165000.00"
"industrial","apartamento","10","273000.00"
"industrial","casa","2","670000.00"
"inga","apartamento","14","455349.00"
"inga","studio","2","497000.00"
"ipanema","apartamento","2","240000.00"
"ipanema","casa","10","437000.00"
"ipiranga","apartamento","38","536789.47"
"ipiranga","casa","4","325750.00"
"iraja","apartamento","2","180000.00"
"iraja","casa","2","166600.00"
"itaim bibi","apartamento","2","2700000.00"
"itaipu","apartamento","4","299000.00"
"itaipu","casa","12","813333.33"
"itanhanga","apartamento","18","184444.44"
"itaquera","apartamento","6","213666.67"
"itu sabara ","apartamento","2","225000.00"
"jacarepagua","apartamento","40","279428.60"
"jacarepagua","casa","12","327241.67"
"jaguare","apartamento","2","380000.00"
"jaguaribe","apartamento","24","334416.67"
"jaguaribe","casa","8","468750.00"
"jardim adriana","apartamento","4","275000.00"
"jardim adriana","casa","6","498333.33"
"jardim aero continental","casa","2","450000.00"
"jardim aida","apartamento","2","250000.00"
"jardim alice","apartamento","2","280000.00"
"jardim almeida prado","casa","2","489000.00"
"jardim alterosa","apartamento","2","320000.00"
"jardim alto da barra","apartamento","2","375000.00"
"jardim amazonas","apartamento","2","190000.00"
"jardim america","apartamento","8","274500.00"
"jardim america","casa","4","192500.00"
"jardim amoreiras","casa","2","600000.00"
"jardim anchieta","apartamento","6","180000.00"
"jardim anton von zuben","casa","2","630000.00"
"jardim artur alvim","apartamento","2","220000.00"
"jardim aurelia","apartamento","4","302000.00"
"jardim aurora zona leste","apartamento","2","220000.00"
"jardim baroneza","apartamento","2","380000.00"
"jardim bela vista","apartamento","4","271500.00"
"jardim bela vista","casa","6","781666.67"
"jardim boa esperanca","casa","2","670000.00"
"jardim bom clima","apartamento","12","389983.33"
"jardim botanico","apartamento","2","190000.00"
"jardim botucatu","apartamento","2","300000.00"
"jardim brasil","apartamento","4","1150500.00"
"jardim brasilandia","casa","4","675000.00"
"jardim campos eliseos","apartamento","8","243750.00"
