,Unnamed: 0,Preco,Num Quartos,Num Banheiros,Num Vagas,Tamanho,Tipo,Cidade,Regiao,Itens Disponivels,Itens Indisponíveis,Data Completa,Dia,Mes,Ano,Dia da Semana,Dia da Semana Extenso,Semana do Ano,Quarter,Estado
1525,1525,180.000,2.0,1.0,1.0,51.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno']",Data inválida,,,,,,,None,RJ
1526,1526,150.000,1.0,1.0,1.0,40.0,Apartamento,Niterói,Fonseca,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",16/04/2024,16.0,4.0,2024.0,1.0,Terça-feira,16.0,Q2,RJ
1527,1527,230.000,2.0,1.0,1.0,53.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa']",Data inválida,,,,,,,None,RJ
1528,1528,250.000,2.0,1.0,0.0,90.0,Apartamento,Niterói,Fonseca,"['Box', 'Varanda', 'Somente uma casa no terreno', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal']",Data inválida,,,,,,,None,RJ
1529,1529,250.000,2.0,1.0,0.0,70.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Cozinha americana']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Closet', 'Home-office', 'Quartos e corredores com portas amplas', 'Garden/Área Privativa']",04/02/2025,4.0,2.0,2025.0,1.0,Terça-feira,6.0,Q1,RJ
1530,1530,212.000,2.0,1.0,1.0,60.0,Apartamento,Niterói,Engenhoca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Armários no quarto', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",31/01/2025,31.0,1.0,2025.0,4.0,Sexta-feira,5.0,Q1,RJ
1531,1531,270.000,2.0,2.0,1.0,90.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno']",Data inválida,,,,,,,None,RJ
1532,1532,218.000,2.0,1.0,1.0,54.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários no quarto', 'Armários na cozinha', 'Fogão incluso', 'Geladeira inclusa']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários nos banheiros', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura']",10/02/2025,10.0,2.0,2025.0,0.0,Segunda-feira,7.0,Q1,RJ
1533,1533,420.000,3.0,2.0,1.0,78.0,Apartamento,Niterói,Barreto,"['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Cozinha americana', 'Área de serviço']","['Box', 'Chuveiro a gás', 'Apartamento cobertura', 'Closet', 'Quintal']",16/06/2024,16.0,6.0,2024.0,6.0,Domingo,24.0,Q2,RJ
1534,1534,185.000,2.0,1.0,1.0,70.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Apartamento cobertura']",Data inválida,,,,,,,None,RJ
1535,1535,150.000,2.0,1.0,0.0,78.0,Apartamento,Niterói,Barreto,"['Box', 'Armários nos banheiros', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",Data inválida,,,,,,,None,RJ
