,preco,num_quartos,num_banheiros,num_vagas,tamanho,tipo,cidade,regiao,itens_disponiveis,itens_indisponiveis,data_completa,dia,mes,ano,dia_da_semana,dia_da_semana_extenso,semana_do_ano,quarter,estado
38,696000,3.0,2.0,1.0,129.0,apartamento,belo horizonte,santo agostinho,"['armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'box', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",06/02/2025,6.0,2.0,2025.0,3.0,quinta-feira,6.0,q1,mg
39,630000,4.0,2.0,2.0,150.0,apartamento,belo horizonte,sagrada familia,"['box', 'apartamento cobertura']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'area de servico']",12/02/2025,12.0,2.0,2025.0,2.0,quarta-feira,7.0,q1,mg
40,266000,3.0,1.0,0.0,75.0,apartamento,belo horizonte,colegio batista,"['box', 'armarios nos banheiros', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",19/10/2024,19.0,10.0,2024.0,5.0,sabado,42.0,q4,mg
41,670000,2.0,2.0,1.0,75.0,apartamento,belo horizonte,caicaras,"['box', 'varanda', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'chuveiro a gas', 'fogao incluso', 'geladeira inclusa', 'cozinha americana', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'piscina privativa', 'ar condicionado', 'apartamento cobertura', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",29/01/2025,29.0,1.0,2025.0,2.0,quarta-feira,5.0,q1,mg
42,475000,2.0,1.0,0.0,120.0,casa,belo horizonte,padre eustaquio,"['armarios na cozinha', 'quartos e corredores com portas amplas', 'quintal', 'area de servico']","['banheira de hidromassagem', 'box', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'somente uma casa no terreno', 'garden/area privativa']",14/02/2025,14.0,2.0,2025.0,4.0,sexta-feira,7.0,q1,mg
43,380000,2.0,2.0,1.0,68.0,apartamento,belo horizonte,cidade nova,"['box', 'varanda', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'area de servico']",['apartamento cobertura'],04/02/2025,4.0,2.0,2025.0,1.0,terca-feira,6.0,q1,mg
44,230000,3.0,1.0,2.0,65.0,apartamento,belo horizonte,padre eustaquio,"['box', 'armarios nos banheiros', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios na cozinha', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",19/11/2024,19.0,11.0,2024.0,1.0,terca-feira,47.0,q4,mg
45,270000,2.0,1.0,1.0,48.0,apartamento,belo horizonte,estrela do oriente,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'cozinha americana', 'quartos e corredores com portas amplas']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'area de servico', 'garden/area privativa']",18/02/2025,18.0,2.0,2025.0,1.0,terca-feira,8.0,q1,mg
46,470000,3.0,3.0,0.0,100.0,apartamento,belo horizonte,funcionarios,"['box', 'armarios no quarto', 'armarios nos banheiros', 'armarios na cozinha', 'quartos e corredores com portas amplas', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'cozinha americana', 'home-office', 'jardim', 'quintal', 'somente uma casa no terreno', 'garden/area privativa']",18/02/2025,18.0,2.0,2025.0,1.0,terca-feira,8.0,q1,mg
47,210000,2.0,1.0,0.0,70.0,casa,belo horizonte,vila cloris,"['box', 'armarios na cozinha', 'cozinha americana', 'area de servico']","['banheira de hidromassagem', 'varanda', 'piscina privativa', 'armarios no quarto', 'armarios nos banheiros', 'ar condicionado', 'chuveiro a gas', 'apartamento cobertura', 'fogao incluso', 'geladeira inclusa', 'banheiro adaptado', 'closet', 'home-office', 'jardim', 'quartos e corredores com portas amplas', 'quintal', 'somente uma casa no terreno']",05/02/2025,5.0,2.0,2025.0,2.0,quarta-feira,6.0,q1,mg
